Sample,ID,Group
CA01,CA01,AC
CA02,CA02,AC
CA04,CA04,AC
CA05,CA05,AC
CA06,CA06,AC
CA08,CA08,AC
CA09,CA09,AC
CA11,CA11,AC
CA12,CA12,AC
CA14,CA14,AC
CA15,CA15,AC
CA16,CA16,AC
CA17,CA17,AC
CA18,CA18,AC
CA19,CA19,AC
CA20,CA20,AC
CA21,CA21,AC
CA22,CA22,AC
CA23,CA23,AC
CA24,CA24,AC
CA28,CA28,AC
CA29,CA29,AC
CA30,CA30,AC
CA31,CA31,AC
CA32,CA32,AC
CA34,CA34,AC
CA36,CA36,AC
CA41,CA41,AC
CA44,CA44,AC
CA45,CA45,AC
CA46,CA46,AC
AN1,AN1,AN
AN2,AN2,AN
AN3,AN3,AN
AN4,AN4,AN
AN5,AN5,AN
AN6,AN6,AN
AN7,AN7,AN
AN8,AN8,AN
AN9,AN9,AN
AN10,AN10,AN
AN11,AN11,AN
AN12,AN12,AN
AN13,AN13,AN
AN14,AN14,AN
AN15,AN15,AN
AN16,AN16,AN
AN17,AN17,AN
AN18,AN18,AN
AN19,AN19,AN
AN20,AN20,AN
AN21,AN21,AN
AN22,AN22,AN
AN23,AN23,AN
AN24,AN24,AN
AN25,AN25,AN
AN26,AN26,AN
AN27,AN27,AN
AN28,AN28,AN
AN29,AN29,AN
AN30,AN30,AN
AN31,AN31,AN
AN33,AN33,AN
AN34,AN34,AN
AN35,AN35,AN
AN37,AN37,AN
AN38,AN38,AN
AN39,AN39,AN
AN40,AN40,AN
AN41,AN41,AN
AN42,AN42,AN
AN43,AN43,AN
AN44,AN44,AN
AN45,AN45,AN
AN46,AN46,AN
AN47,AN47,AN
AN48,AN48,AN
AN49,AN49,AN
AN50,AN50,AN
AN51,AN51,AN
AN52,AN52,AN
AN53,AN53,AN
AN54,AN54,AN
AN55,AN55,AN
AN56,AN56,AN
AN57,AN57,AN
AN58,AN58,AN
AN59,AN59,AN
AN60,AN60,AN
AN61,AN61,AN
AN62,AN62,AN
AN63,AN63,AN
AN64,AN64,AN
AN65,AN65,AN
AN66,AN66,AN
AN67,AN67,AN
AN69,AN69,AN
AN70,AN70,AN
AN71,AN71,AN
AN72,AN72,AN
AN74,AN74,AN
AN79,AN79,AN
AN93,AN93,AN
AN100,AN100,AN
AP4,AP4,AP
AP5,AP5,AP
AP6,AP6,AP
AP7,AP7,AP
AP8,AP8,AP
AP9,AP9,AP
AP10,AP10,AP
AP11,AP11,AP
AP12,AP12,AP
AP13,AP13,AP
AP14,AP14,AP
AP15,AP15,AP
AP16,AP16,AP
AP17,AP17,AP
AP18,AP18,AP
AP19,AP19,AP
AP20,AP20,AP
AP21,AP21,AP
AP37,AP37,AP
AP39,AP39,AP
AP42,AP42,AP
AP43,AP43,AP
AP44,AP44,AP
AP45,AP45,AP
AP46,AP46,AP
AP47,AP47,AP
AP48,AP48,AP
AP50,AP50,AP
AP51,AP51,AP
AP52,AP52,AP
AP53,AP53,AP
AP54,AP54,AP
AP55,AP55,AP
AP56,AP56,AP
AP57,AP57,AP
AP58,AP58,AP
AP59,AP59,AP
AP60,AP60,AP
AP61,AP61,AP
AP62,AP62,AP
AP63,AP63,AP
AP64,AP64,AP
AP65,AP65,AP
AP66,AP66,AP
AP67,AP67,AP
AP68,AP68,AP
AP69,AP69,AP
AP70,AP70,AP
AP71,AP71,AP
AP72,AP72,AP
AP73,AP73,AP
AP74,AP74,AP
AP75,AP75,AP
AP76,AP76,AP
AP78,AP78,AP
AP79,AP79,AP
AP80,AP80,AP
AP83,AP83,AP
AP84,AP84,AP
AP85,AP85,AP
AP87,AP87,AP
AP88,AP88,AP
AP89,AP89,AP
AP90,AP90,AP
AP91,AP91,AP
AP92,AP92,AP
AP93,AP93,AP
AP94,AP94,AP
AP95,AP95,AP
AP96,AP96,AP
AP97,AP97,AP
AP98,AP98,AP
AP99,AP99,AP
AP100,AP100,AP
AP101,AP101,AP
AP102,AP102,AP
AP103,AP103,AP
AP104,AP104,AP
AP105,AP105,AP
AP106,AP106,AP
AP107,AP107,AP
AP108,AP108,AP
AP109,AP109,AP
AP110,AP110,AP
AP111,AP111,AP
AP112,AP112,AP
AP113,AP113,AP
AP114,AP114,AP
AP115,AP115,AP
AP116,AP116,AP
AP117,AP117,AP
AP118,AP118,AP
AP119,AP119,AP
AP120,AP120,AP
AP121,AP121,AP
AP122,AP122,AP
AP123,AP123,AP
AP124,AP124,AP
